38 Sea Zone  (4173,2192)  (4125,2239)  (4125,2191)  (4220,2240)  (4173,2144)  (4221,2146)  (4123,2143)  (4268,2194)  (4268,2242)  (4316,2197)  (4316,2245)  | overflowToLeft=false
28 Sea Zone  (7517,1793)  (7469,1840)  (7469,1792)  (7564,1841)  (7517,1745)  (7565,1745)  (7565,1793)  (7467,1744)  (7516,1888)  (7468,1888)  (7421,1840)  (7421,1792)  (7612,1841)  (7612,1889)  (7564,1889)  (7420,1889)  (7515,1697)  (7563,1697)  (7611,1697)  (7613,1745)  (7613,1793)  (7419,1744)  (7419,1696)  (7467,1696)  (7516,1936)  (7468,1936)  (7656,1937)  (7608,1937)  (7420,1937)  (7515,1649)  (7563,1649)  (7611,1649)  (7384,1648)  (7432,1648)  (7560,1984)  (7512,1984)  (7656,1985)  (7608,1985)  (7464,1985)  (7416,1985)  (7480,1601)  (7528,1601)  (7576,1601)  (7624,1601)  (7384,1600)  (7432,1600)  (7560,2032)  (7512,2032)  (7656,2033)  (7608,2033)  (7464,2033)  (7416,2033)  | overflowToLeft=false
British Columbia  (7496,408)  (7547,400)  (7596,401)  (7646,395)  (7661,344)  (7658,299)  (7658,252)  (7612,244)  (7565,240)  (7519,247)  (7483,325)  (7673,432)  | overflowToLeft=false
Buyant-Uhaa  (4818,679)  | overflowToLeft=false
94 Sea Zone  (2134,1434)  (2086,1481)  (2086,1433)  (2181,1482)  (2134,1386)  (2182,1414)  (2084,1385)  (2229,1462)  | overflowToLeft=false
Olgiy  (4211,589)  (4211,589)  | overflowToLeft=false
46 Sea Zone  (5834,2332)  (5786,2351)  (5786,2303)  (5834,2284)  (5882,2284)  (5882,2332)  (5772,2255)  (5820,2236)  (5868,2236)  (5973,2458)  (5854,2502)  (6007,2506)  (6021,2458)  | overflowToLeft=false
125 Sea Zone  (2283,50)  (2235,97)  (2235,49)  (2330,98)  (2283,2)  (2331,2)  (2331,50)  (2233,1)  (2187,144)  (2187,96)  (2378,98)  (2379,0)  (2379,48)  (2185,48)  (2185,0)  | overflowToLeft=false
Johnston Island  (6863,1861)  (6915,1845)  | overflowToLeft=false
Western Germany  (2265,923)  (2315,926)  (2361,927)  (2409,900)  (2406,853)  (2358,876)  (2309,877)  (2264,874)  (2266,823)  (2314,825)  (2360,825)  (2407,801)  (2405,751)  (2417,701)  (2367,685)  (2318,689)  (2321,640)  (2366,626)  (2414,656)  | overflowToLeft=false
Eastern Iran  (3580,1786)  (3628,1783)  (3674,1778)  (3582,1832)  (3629,1831)  (3676,1824)  (3538,1659)  (3585,1658)  (3634,1655)  (3577,1611)  (3628,1610)  (3669,1577)  (3620,1562)  (3578,1562)  (3657,1523)  (3579,1882)  (3630,1877)  (3638,1925)  | overflowToLeft=false
Finland  (2736,294)  (2742,244)  (2789,240)  (2715,157)  (2720,108)  (2761,155)  (2718,62)  (2739,14)  | overflowToLeft=false
Sumatra  (4489,2512)  (4380,2434)  (4338,2404)  (4292,2376)  (4482,2559)  (4529,2579)  (4530,2529)  | overflowToLeft=false
23 Sea Zone  (6070,1579)  (6022,1626)  (6022,1578)  (6117,1627)  (6070,1531)  (6118,1531)  (6118,1579)  (6020,1530)  (6069,1674)  (6021,1674)  (5974,1626)  (5974,1578)  (6165,1627)  (6165,1675)  (6117,1675)  (5973,1675)  (6068,1483)  (6116,1483)  (6164,1483)  (6166,1531)  (6166,1579)  (5972,1530)  (5972,1482)  (6020,1482)  (6069,1722)  (6021,1722)  (6196,1723)  (6148,1723)  (5973,1723)  (6068,1435)  (6116,1435)  (6164,1435)  (5966,1434)  (6014,1434)  (6100,1770)  (6052,1770)  (6196,1771)  (6148,1771)  (6004,1771)  | overflowToLeft=false
41 Sea Zone  (4253,2577)  (4205,2624)  (4205,2576)  (4300,2625)  (4253,2529)  (4301,2529)  (4301,2577)  (4203,2528)  (4252,2672)  (4204,2672)  (4157,2624)  (4157,2576)  (4348,2625)  (4348,2673)  (4300,2673)  (4156,2673)  (4251,2481)  (4299,2481)  (4347,2481)  (4349,2529)  (4349,2577)  (4155,2528)  (4155,2480)  (4203,2480)  (4395,2435)  (4252,2720)  (4204,2720)  (4109,2625)  (4109,2577)  (4396,2625)  (4396,2673)  (4396,2721)  (4348,2721)  (4300,2721)  (4156,2721)  (4108,2721)  (4108,2673)  (4251,2433)  (4299,2433)  (4347,2433)  (4397,2483)  (4397,2531)  (4107,2529)  (4107,2481)  (4107,2433)  (4155,2432)  (4203,2432)  (4443,2421)  (4444,2579)  (4444,2627)  (4444,2675)  (4444,2723)  | overflowToLeft=false
Southern France  (2004,1090)  (1973,1128)  (1961,1167)  (2011,1174)  (2056,1175)  (2103,1173)  (2157,1128)  (2165,1078)  (2150,1175)  (2230,1245)  | overflowToLeft=false
64 Sea Zone  (186,1723)  (138,1770)  (138,1722)  (233,1771)  (186,1675)  (234,1675)  (234,1723)  (136,1674)  (185,1818)  (137,1818)  (90,1770)  (90,1722)  (281,1771)  (281,1819)  (233,1819)  (89,1819)  (184,1627)  (232,1627)  (280,1627)  (282,1675)  (282,1723)  (88,1674)  (88,1626)  (136,1626)  (328,1581)  (185,1866)  (137,1866)  (42,1771)  (42,1723)  (329,1771)  (329,1819)  (329,1867)  (281,1867)  (233,1867)  (89,1867)  (41,1867)  (41,1819)  (184,1579)  (232,1579)  (280,1579)  (330,1629)  (330,1677)  (40,1675)  (40,1627)  (40,1579)  (88,1578)  (136,1578)  (328,1533)  (376,1533)  (376,1581)  (185,1914)  (137,1914)  | overflowToLeft=false
Northern Italy  (2211,1155)  (2212,1109)  (2215,1059)  (2261,1146)  (2298,1180)  (2321,1217)  (2369,1202)  (2349,1158)  (2374,1111)  (2375,1064)  (2231,1309)  (2422,1066)  | overflowToLeft=false
Western Australia  (5348,2814)  (5303,2817)  (5257,2838)  (5302,2948)  (5351,2943)  (5397,2940)  (5418,2893)  (5419,2846)  (5397,2800)  (5351,2762)  (5323,2995)  (5366,2990)  (5415,2982)  (5331,3043)  (5377,3038)  | overflowToLeft=false
Paulau Island  (5614,2071)  (5614,2118)  | overflowToLeft=false
76 Sea Zone  (3207,2433)  (3159,2480)  (3159,2432)  (3254,2481)  (3207,2385)  (3255,2385)  (3255,2433)  (3157,2384)  (3206,2528)  (3158,2528)  (3111,2480)  (3111,2432)  (3302,2481)  (3302,2529)  (3254,2529)  (3205,2337)  (3253,2337)  (3301,2337)  (3303,2385)  (3303,2433)  (3063,2463)  (3245,2289)  (3293,2289)  (3242,2241)  (3290,2241)  (3190,2229)  (3238,2193)  (3286,2193)  (3307,2145)  (3068,2101)  | overflowToLeft=false
110 Sea Zone  (2044,705)  (1996,726)  (2117,632)  (1948,765)  (1948,717)  (2120,584)  (2168,581)  (1900,742)  (1900,694)  (2117,536)  (2165,533)  (2216,542)  (2216,590)  (1852,740)  (1852,692)  | overflowToLeft=false
Madagascar  (3101,2898)  (3148,2867)  (3199,2860)  (3246,2848)  (3256,2798)  (3167,3010)  (3117,3007)  (3066,3006)  (3053,3056)  (3106,3053)  (3154,3056)  (3066,3101)  (3117,3101)  (3264,2759)  | overflowToLeft=false
4 Sea Zone  (6345,277)  (6297,324)  (6297,276)  (6392,325)  (6345,229)  (6393,229)  (6393,277)  (6295,228)  (6344,372)  (6296,372)  (6249,324)  (6249,276)  (6440,325)  (6440,373)  (6392,373)  (6248,373)  (6343,181)  (6391,181)  (6439,181)  (6441,229)  (6441,277)  (6247,228)  (6279,180)  (6451,133)  | overflowToLeft=false
15 Sea Zone  (6608,750)  (6560,797)  (6560,749)  (6655,798)  (6608,702)  (6656,702)  (6656,750)  (6558,701)  (6607,845)  (6559,845)  (6512,797)  (6512,749)  (6703,798)  (6703,846)  (6655,846)  (6511,846)  (6606,654)  (6654,654)  (6702,654)  (6704,702)  (6704,750)  (6510,701)  (6510,653)  (6558,653)  (6607,893)  (6559,893)  (6736,894)  (6688,894)  (6511,894)  (6606,606)  (6654,606)  (6702,606)  (6510,605)  (6558,605)  (6640,941)  (6592,941)  (6736,942)  (6688,942)  (6544,942)  | overflowToLeft=false
Libya  (2225,1760)  (2271,1783)  (2311,1801)  (2362,1808)  (2413,1808)  (2443,1759)  (2444,1715)  (2393,1662)  (2347,1642)  (2299,1623)  (2388,1708)  (2387,1752)  (2444,1667)  | overflowToLeft=false
Nenetsia  (3273,78)  (3312,127)  (3360,145)  (3412,141)  (3458,127)  (3487,79)  (3487,28)  (3437,3)  (3387,2)  (3337,2)  (3286,2)  (3235,0)  (3228,47)  (3333,193)  (3381,192)  (3362,241)  (3507,126)  (3536,78)  (3535,28)  (3583,5)  (3585,51)  (3584,99)  (3633,53)  (3631,3)  (3676,1)  | overflowToLeft=false
South Australia  (5472,2891)  (5471,2935)  (5673,2901)  (5470,2984)  (5673,2949)  (5721,2891)  (5724,2939)  (5702,2994)  (5741,2987)  (5717,3036)  | overflowToLeft=false
21 Sea Zone  (5459,1414)  (5459,1462)  (5459,1510)  (5459,1558)  (5459,1606)  (5459,1654)  (5459,1702)  (5459,1750)  (5507,1414)  (5507,1462)  (5507,1510)  (5507,1558)  (5507,1606)  (5507,1654)  (5507,1702)  (5507,1750)  (5555,1414)  (5555,1462)  (5555,1510)  (5555,1558)  (5555,1606)  (5555,1654)  (5555,1702)  (5555,1750)  (5603,1414)  (5603,1462)  (5603,1510)  (5603,1558)  (5603,1606)  (5603,1654)  (5603,1702)  (5603,1750)  (5651,1592)  (5651,1706)  (5651,1754)  (5675,1640)  (5699,1688)  (5699,1736)  | overflowToLeft=false
Bosnia  (2572,1190)  (2538,1142)  (2584,1139)  | overflowToLeft=false
Sweden  (2445,376)  (2489,375)  (2534,371)  (2582,366)  (2455,422)  (2500,419)  (2544,418)  (2475,467)  (2521,466)  (2546,273)  (2589,272)  (2565,226)  (2608,227)  (2592,177)  (2639,180)  (2649,136)  (2657,228)  | overflowToLeft=false
Kansu  (4105,746)  (4102,902)  (4053,901)  (4026,850)  (4028,802)  (4057,754)  (4098,699)  (4149,703)  (4155,748)  (4203,728)  (4203,776)  (4203,822)  (4151,903)  (4203,872)  (4251,753)  (4252,799)  (4251,845)  (4201,921)  (4002,896)  (3979,845)  (3958,941)  (4007,944)  (4055,947)  (4103,950)  (4151,952)  (4009,991)  (4058,996)  (4106,997)  (4153,998)  (4299,798)  | overflowToLeft=false
97 Sea Zone  (2567,1439)  (2519,1486)  (2519,1438)  (2614,1487)  (2567,1391)  (2615,1395)  (2517,1390)  (2662,1474)  (2565,1343)  (2539,1295)  (2486,1255)  (2445,1207)  | overflowToLeft=false
Siberia  (5653,70)  (5652,116)  (5654,162)  (5702,169)  (5748,167)  (5795,165)  (5838,163)  (5840,113)  (5839,69)  (5835,23)  (5786,22)  (5739,21)  (5689,21)  (5639,22)  (5589,23)  (5535,21)  (5484,22)  (5483,72)  (5538,70)  (5592,71)  (5483,119)  (5536,118)  (5585,119)  (5462,169)  (5512,166)  (5564,166)  (5653,210)  (5701,215)  (5753,213)  (5603,200)  (5837,210)  (5890,198)  (5886,148)  (5888,106)  (5887,58)  (5887,9)  (5936,8)  (5935,54)  (5937,99)  (5936,145)  (5937,191)  (5982,158)  (5984,107)  (5984,59)  (5985,9)  (6034,8)  (6032,55)  (6032,103)  (6034,149)  | overflowToLeft=false
Poland  (2669,690)  (2670,736)  (2666,782)  (2665,828)  (2713,828)  (2759,831)  (2717,687)  (2808,831)  | overflowToLeft=false
92 Sea Zone  (1920,1452)  (1872,1499)  (1951,1500)  (1959,1404)  (1968,1452)  (2007,1385)  (1824,1518)  (2016,1433)  (2016,1481)  | overflowToLeft=false
18 Sea Zone  (5598,1309)  (5550,1356)  (5550,1308)  (5645,1357)  (5646,1263)  (5502,1365)  (5502,1317)  (5502,1269)  (5693,1311)  (5693,1359)  (5694,1263)  (5741,1311)  (5741,1359)  (5742,1263)  | overflowToLeft=false
Bulgaria  (2757,1145)  (2805,1149)  (2760,1247)  (2809,1250)  (2856,1243)  (2853,1156)  (2900,1243)  (2897,1201)  (2900,1155)  | overflowToLeft=false
Tunisia  (2166,1606)  (2211,1603)  (2184,1652)  (2230,1650)  (2259,1598)  (2262,1552)  (2226,1516)  | overflowToLeft=false
117 Sea Zone  (1251,303)  (1203,350)  (1203,302)  (1298,351)  (1251,255)  (1299,255)  (1299,303)  (1201,254)  (1250,398)  (1202,398)  (1346,351)  (1346,399)  (1298,399)  (1249,207)  (1297,207)  (1345,207)  (1347,255)  (1347,303)  (1170,206)  (1250,446)  (1202,446)  (1363,447)  (1315,447)  (1218,159)  (1266,159)  (1314,159)  (1362,159)  (1170,158)  | overflowToLeft=false
Java  (4645,2576)  (4771,2609)  (4812,2621)  (4854,2626)  (4900,2631)  (4941,2635)  (4988,2626)  | overflowToLeft=false
51 Sea Zone  (7309,2224)  (7309,2272)  (7309,2320)  (7309,2368)  (7309,2416)  (7309,2464)  (7309,2512)  (7309,2560)  (7309,2608)  (7309,2656)  (7357,2224)  (7357,2272)  (7357,2320)  (7357,2368)  (7357,2416)  (7357,2464)  (7357,2512)  (7357,2560)  (7357,2608)  (7357,2656)  (7384,2141)  (7405,2189)  (7405,2237)  (7405,2285)  (7405,2333)  (7405,2381)  (7405,2429)  (7405,2477)  (7405,2525)  (7405,2643)  (7405,2691)  (7432,2141)  (7453,2189)  (7453,2237)  (7453,2285)  (7453,2333)  (7453,2381)  (7453,2429)  (7453,2477)  (7453,2525)  (7453,2634)  (7453,2682)  (7480,2141)  (7501,2189)  (7501,2237)  (7501,2285)  (7501,2333)  (7501,2381)  (7501,2429)  (7501,2477)  (7501,2525)  (7501,2642)  (7501,2690)  | overflowToLeft=false
54 Sea Zone  (5997,2680)  (5949,2702)  (5949,2654)  (6044,2728)  (5997,2632)  (6045,2632)  (6045,2680)  (5922,2606)  (6092,2728)  (6092,2776)  (6044,2776)  (5970,2584)  (6018,2584)  (6066,2584)  (6093,2632)  (6093,2680)  (6114,2581)  (5874,2598)  (6140,2728)  (6140,2776)  (6140,2824)  (6092,2824)  (6141,2629)  (6141,2677)  (5781,2586)  (5775,2634)  | overflowToLeft=false
48 Sea Zone  (6326,2002)  (6326,2050)  (6326,2098)  (6326,2146)  (6326,2194)  (6326,2242)  (6374,2002)  (6374,2050)  (6374,2098)  (6374,2146)  (6374,2194)  (6374,2242)  (6422,2002)  (6422,2050)  (6422,2098)  (6422,2158)  (6422,2206)  (6422,2254)  (6470,2002)  (6470,2050)  (6470,2168)  (6470,2216)  (6470,2264)  (6506,2098)  (6518,2002)  (6518,2050)  (6518,2146)  (6518,2194)  (6518,2242)  (6554,2098)  (6566,2002)  (6566,2050)  (6566,2146)  (6566,2194)  (6566,2242)  | overflowToLeft=false
89 Sea Zone  (229,1106)  (233,1154)  (248,1202)  (281,1151)  (296,1199)  (428,1341)  (444,1293)  (463,1211)  (476,1341)  (492,1277)  (522,1536)  (524,1328)  (538,1475)  (547,1376)  (547,1424)  (570,1523)  (572,1328)  (586,1472)  (595,1376)  (595,1424)  (618,1520)  (634,1472)  (643,1371)  (643,1419)  (651,1211)  (682,1467)  (691,1335)  (691,1383)  (699,1211)  (730,1431)  (730,1479)  (733,1259)  (747,1211)  (778,1393)  (778,1441)  (778,1489)  (788,1537)  (795,1211)  (826,1414)  (826,1462)  (836,1510)  (851,1254)  (865,1302)  (874,1426)  (884,1474)  (884,1522)  (913,1292)  (913,1340)  (922,1426)  (932,1505)  (961,1292)  (961,1340)  | overflowToLeft=false
Kenya  (2864,2367)  (2816,2376)  (2775,2423)  (2773,2470)  (2821,2487)  (2867,2496)  (2765,2519)  (2718,2487)  (2762,2373)  (2915,2399)  (2961,2407)  (2958,2452)  (2916,2498)  (2962,2501)  (2887,2546)  (2936,2546)  (2975,2580)  | overflowToLeft=false
123 Sea Zone  (1365,1)  (1365,49)  (1413,1)  (1413,49)  (1461,52)  (1621,96)  (1631,1)  | overflowToLeft=false
Kweichow  (4350,1378)  (4346,1421)  (4390,1453)  (4436,1446)  (4481,1449)  (4523,1421)  (4523,1376)  (4523,1337)  (4479,1331)  (4432,1330)  (4383,1329)  (4331,1331)  (4342,1467)  (4389,1499)  (4572,1420)  (4572,1371)  (4570,1325)  (4621,1391)  | overflowToLeft=false
43 Sea Zone  (4887,2180)  (4839,2227)  (4934,2228)  (4935,2167)  (4886,2275)  (4838,2275)  (4982,2215)  (4982,2263)  (4934,2276)  (4983,2167)  (4790,2279)  (5015,2311)  (4886,2323)  (4838,2323)  (5030,2215)  (5030,2263)  (4967,2324)  (5031,2167)  (4790,2327)  (4919,2371)  (4871,2371)  (4999,2372)  (4823,2375)  (4951,2419)  (4903,2419)  (4999,2420)  (4855,2423)  (4807,2423)  | overflowToLeft=false
Sicily  (2356,1437)  (2404,1436)  (2401,1480)  | overflowToLeft=false
128 Sea Zone  (3503,1318)  (3535,1366)  (3464,1270)  (3554,1414)  (3496,1222)  (3544,1185)  (3574,1462)  (3526,1462)  | overflowToLeft=false
Mauritania  (1615,1837)  (1665,1845)  (1707,1888)  (1754,1899)  (1754,1849)  (1760,1795)  (1767,1746)  (1809,1724)  | overflowToLeft=false
Bryansk  (3165,811)  (3207,808)  (3168,761)  (3172,712)  (3218,697)  (3264,694)  (3295,741)  (3312,788)  (3257,810)  (3208,855)  (3259,858)  (3308,692)  | overflowToLeft=false
Tsinghai  (3978,1192)  (4023,1193)  (4070,1193)  (4117,1171)  (4120,1130)  (4121,1082)  (4077,1071)  (4034,1070)  (3988,1072)  (3941,1096)  (3935,1143)  (3928,1190)  (3930,1235)  (3973,1236)  (4019,1242)  (4068,1241)  (4115,1232)  (4171,1135)  (3938,1045)  (4167,1083)  | overflowToLeft=false
26 Sea Zone  (6567,1363)  (6567,1411)  (6567,1459)  (6567,1507)  (6567,1555)  (6567,1603)  (6567,1651)  (6615,1363)  (6615,1411)  (6615,1459)  (6615,1507)  (6615,1555)  (6615,1603)  (6615,1651)  (6663,1363)  (6663,1411)  (6663,1459)  (6663,1507)  (6663,1555)  (6663,1603)  (6663,1651)  (6711,1393)  (6711,1441)  (6711,1489)  (6711,1537)  (6711,1585)  (6711,1633)  (6759,1363)  (6759,1415)  (6759,1463)  (6759,1511)  (6759,1559)  (6759,1607)  (6759,1655)  (6807,1468)  (6807,1516)  (6807,1564)  (6807,1612)  (6807,1660)  (6823,1363)  (6855,1536)  (6855,1584)  (6855,1632)  (6871,1363)  (6873,1411)  (6903,1539)  (6903,1587)  (6903,1635)  (6919,1363)  (6921,1411)  (6939,1459)  | overflowToLeft=false
7 Sea Zone  (6255,544)  (6207,591)  (6207,543)  (6302,592)  (6255,496)  (6303,496)  (6303,544)  (6205,495)  (6254,639)  (6206,639)  (6159,591)  (6159,543)  (6350,592)  (6350,640)  (6302,640)  (6158,640)  (6253,448)  (6301,448)  (6349,448)  (6351,496)  (6351,544)  (6157,495)  (6157,447)  (6205,447)  (6397,430)  (6111,592)  (6111,544)  (6398,592)  (6398,640)  (6110,685)  (6399,478)  (6399,526)  (6109,496)  (6109,448)  (6445,430)  (6446,574)  (6446,622)  (6446,670)  (6447,478)  (6447,526)  | overflowToLeft=false
Israel  (2979,1716)  (3031,1730)  (3073,1717)  (3086,1671)  (3028,1610)  (3076,1630)  (3117,1619)  | overflowToLeft=false
2 Sea Zone  (6840,183)  (6887,231)  (6839,231)  (6813,135)  (6813,87)  (6861,86)  (6824,38)  | overflowToLeft=false
Western United States  (7498,581)  (7498,531)  (7497,479)  (7544,472)  (7590,471)  (7642,471)  (7647,519)  (7649,566)  (7643,615)  (7592,629)  (7540,630)  (7490,629)  (7445,675)  (7494,676)  (7543,675)  (7593,678)  (7644,668)  (7455,729)  (7504,729)  (7552,727)  (7603,724)  (7651,720)  | overflowToLeft=false
Central America  (381,1415)  (428,1382)  (475,1381)  (464,1493)  (510,1493)  (471,1541)  (499,1579)  (541,1601)  (613,1624)  (518,1425)  | overflowToLeft=false
Myanmar  (4316,1932)  (4336,1882)  (4383,1874)  (4426,1872)  (4388,1827)  (4433,1824)  (4417,1779)  (4268,2054)  (4316,2052)  (4280,2101)  (4329,2100)  (4350,2143)  (4370,2193)  (4367,2237)  (4416,2242)  | overflowToLeft=false
Gibraltar  (1758,1457)  (1786,1460)  | overflowToLeft=false
Cyprus  (2933,1501)  (2977,1499)  | overflowToLeft=false
